Honda	Ridgeline	2016 Ridgeline Crew Cab	2016	Not Available	Truck	Not Available	Not Available	 Gas	Not Available	Not Available	 Four Wheel Drive	 Regular unleaded	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available
Chevrolet	Camaro	2016 Camaro Coupe	2016	Not Available	Coupe	 6-speed Manual	 3 Yr./ 36000 Mi.	 Gas	4	Inline 4	 Rear Wheel Drive	 Premium unleaded (recommended)	 2.0 L	 275 hp @ 5600 rpm	 295 ft-lbs. @ 3000 rpm	$25,700	        Yes	        No	        Yes
Chevrolet	Camaro	2014 Camaro Coupe	2014	 17/28 mpg	Coupe	 6-speed Manual	 3 Yr./ 36000 Mi.	 Gas	4	V6	 Rear Wheel Drive	 Regular unleaded	 3.6 L	 323 hp @ 6800 rpm	 278 ft-lbs. @ 4800 rpm	$23,555	        Yes	        No	        Yes
Honda	Fit	2016 Fit Hatchback	2016	 29/37 mpg	Hatchback	 6-speed Manual	 3 Yr./ 36000 Mi.	 Gas	5	Inline 4	 Front Wheel Drive	 Regular unleaded	 1.5 L	 130 hp @ 6600 rpm	 114 ft-lbs. @ 4600 rpm	$15,790	        Yes	        No	        No
Honda	Crosstour	2015 Crosstour Hatchback	2015	 22/31 mpg	Hatchback	 5-speed Automatic	 3 Yr./ 36000 Mi.	 Gas	5	Inline 4	 Front Wheel Drive	 Regular unleaded	 2.4 L	 192 hp @ 7000 rpm	 162 ft-lbs. @ 4400 rpm	$27,530	        Yes	        No	        No
Honda	Crosstour	2014 Crosstour Hatchback	2014	 22/31 mpg	Hatchback	 5-speed Automatic	 3 Yr./ 36000 Mi.	 Gas	5	Inline 4	 Front Wheel Drive	 Regular unleaded	 2.4 L	 192 hp @ 7000 rpm	 162 ft-lbs. @ 4400 rpm	$27,380	        Yes	        No	        No
Honda	Fit	2015 Fit Hatchback	2015	 29/37 mpg	Hatchback	 6-speed Manual	 3 Yr./ 36000 Mi.	 Gas	5	Inline 4	 Front Wheel Drive	 Regular unleaded	 1.5 L	 130 hp @ 6600 rpm	 114 ft-lbs. @ 4600 rpm	$15,650	        Yes	        No	        No
Honda	Fit EV	2014 Fit EV Hatchback	2014	 132/105 mpg	Hatchback	 1-speed Direct Drive	 3 Yr./ 36000 Mi.	 Electric	5	Not Available	 Front Wheel Drive	Not Available	Not Available	Not Available	Not Available	$36,625	        Yes	        Yes	        Yes
Honda	CR-Z	2015 CR-Z Hatchback	2015	 31/38 mpg	Hatchback	 6-speed Manual	 3 Yr./ 36000 Mi.	 Hybrid	2	Inline 4	 Front Wheel Drive	 Regular unleaded	 1.5 L	 130 hp @ 6000 rpm	 140 ft-lbs. @ 1000 rpm	$20,145	        Yes	        No	        No
Honda	Civic	2015 Civic Si w/Summer Tires	2015	 22/31 mpg	Coupe	 6-speed Manual	 3 Yr./ 36000 Mi.	 Gas	5	Inline 4	 Front Wheel Drive	 Premium unleaded (required)	 2.4 L	 205 hp @ 7000 rpm	 174 ft-lbs. @ 4400 rpm	$23,090	        Yes	        No	        No
Honda	Civic	2015 Civic Si w/Navigation and Summer Tires	2015	 22/31 mpg	Coupe	 6-speed Manual	 3 Yr./ 36000 Mi.	 Gas	5	Inline 4	 Front Wheel Drive	 Premium unleaded (required)	 2.4 L	 205 hp @ 7000 rpm	 174 ft-lbs. @ 4400 rpm	$24,590	        Yes	        No	        Yes
Honda	Civic	2014 Civic Si w/Summer Tires	2014	 22/31 mpg	Coupe	 6-speed Manual	 3 Yr./ 36000 Mi.	 Gas	5	Inline 4	 Front Wheel Drive	 Premium unleaded (required)	 2.4 L	 205 hp @ 7000 rpm	 174 ft-lbs. @ 4400 rpm	$22,990	        Yes	        No	        No
Honda	Civic	2016 Civic Hatchback	2016	Not Available	Hatchback	Not Available	Not Available	 Gas	Not Available	Inline 4	Not Available	 Regular unleaded	 2.0 L	 158 hp @ 6500 rpm	 138 ft-lbs. @ 4200 rpm	Not Available	Not Available	Not Available	Not Available
Honda	Civic	2015 Civic Si w/Navigation	2015	 22/31 mpg	Coupe	 6-speed Manual	 3 Yr./ 36000 Mi.	 Gas	5	Inline 4	 Front Wheel Drive	 Premium unleaded (required)	 2.4 L	 205 hp @ 7000 rpm	 174 ft-lbs. @ 4400 rpm	$24,390	        Yes	        No	        Yes
Honda	Civic	2014 Civic Si w/Navigation	2014	 22/31 mpg	Coupe	 6-speed Manual	 3 Yr./ 36000 Mi.	 Gas	5	Inline 4	 Front Wheel Drive	 Premium unleaded (required)	 2.4 L	 205 hp @ 7000 rpm	 174 ft-lbs. @ 4400 rpm	$24,290	        Yes	        No	        Yes
Honda	Civic	2015 Civic Hybrid	2015	 44/47 mpg	Sedan	 Continuously Variable-speed Automatic	 3 Yr./ 36000 Mi.	 Hybrid	5	Inline 4	 Front Wheel Drive	 Regular unleaded	 1.5 L	 110 hp @ 5500 rpm	 127 ft-lbs. @ 1000 rpm	$24,735	        Yes	        No	        No
Honda	Civic	2015 Civic Si	2015	 22/31 mpg	Coupe	 6-speed Manual	 3 Yr./ 36000 Mi.	 Gas	5	Inline 4	 Front Wheel Drive	 Premium unleaded (required)	 2.4 L	 205 hp @ 7000 rpm	 174 ft-lbs. @ 4400 rpm	$22,890	        Yes	        No	        No
Honda	Accord Plug-In Hybrid	2014 Accord Plug-In Hybrid Sedan	2014	 47/46 mpg	Sedan	 Continuously Variable-speed Automatic	 3 Yr./ 36000 Mi.	 Hybrid	5	Inline 4	 Front Wheel Drive	 Regular unleaded	 2.0 L	 196 hp @ 6200 rpm	Not Available	$39,780	        Yes	        Yes	        Yes
Honda	Civic	2014 Civic Si	2014	 22/31 mpg	Coupe	 6-speed Manual	 3 Yr./ 36000 Mi.	 Gas	5	Inline 4	 Front Wheel Drive	 Premium unleaded (required)	 2.4 L	 205 hp @ 7000 rpm	 174 ft-lbs. @ 4400 rpm	$22,790	        Yes	        No	        No
Honda	Civic	2016 Civic Coupe	2016	Not Available	Coupe	Not Available	Not Available	 Gas	Not Available	Inline 4	Not Available	 Regular unleaded	 2.0 L	 158 hp @ 6500 rpm	 138 ft-lbs. @ 4200 rpm	Not Available	Not Available	Not Available	Not Available
Honda	Civic	2015 Civic Coupe	2015	 28/36 mpg	Coupe	 5-speed Manual	 3 Yr./ 36000 Mi.	 Gas	5	Inline 4	 Front Wheel Drive	 Regular unleaded	 1.8 L	 143 hp @ 6500 rpm	 129 ft-lbs. @ 4300 rpm	$18,290	        Yes	        No	        No
Honda	Accord	2016 Accord Sedan	2016	 23/34 mpg	Sedan	 6-speed Manual	 3 Yr./ 36000 Mi.	 Gas	5	Inline 4	 Front Wheel Drive	 Regular unleaded	 2.4 L	 185 hp @ 6400 rpm	 181 ft-lbs. @ 3900 rpm	$22,105	        Yes	        No	        No
Honda	Accord Hybrid	2015 Accord Hybrid Sedan	2015	 50/45 mpg	Sedan	 Continuously Variable-speed Automatic	 3 Yr./ 36000 Mi.	 Hybrid	5	Inline 4	 Front Wheel Drive	 Regular unleaded	 2.0 L	 196 hp @ 6200 rpm	Not Available	$29,305	        Yes	        No	        No
Honda	Accord	2016 Accord Coupe	2016	 23/34 mpg	Coupe	 6-speed Manual	 3 Yr./ 36000 Mi.	 Gas	5	Inline 4	 Front Wheel Drive	 Regular unleaded	 2.4 L	 185 hp @ 6400 rpm	 181 ft-lbs. @ 3900 rpm	$23,775	        Yes	        No	        No
Honda	Accord	2015 Accord Coupe	2015	 24/34 mpg	Coupe	 6-speed Manual	 3 Yr./ 36000 Mi.	 Gas	5	Inline 4	 Front Wheel Drive	 Regular unleaded	 2.4 L	 185 hp @ 6400 rpm	 181 ft-lbs. @ 3900 rpm	$23,775	        Yes	        No	        No
Honda	Accord	2014 Accord Coupe	2014	 24/34 mpg	Coupe	 6-speed Manual	 3 Yr./ 36000 Mi.	 Gas	5	Inline 4	 Front Wheel Drive	 Regular unleaded	 2.4 L	 185 hp @ 6400 rpm	 181 ft-lbs. @ 3900 rpm	$23,625	        Yes	        No	        No
Honda	Accord	2015 Accord Sedan	2015	 24/34 mpg	Sedan	 6-speed Manual	 3 Yr./ 36000 Mi.	 Gas	5	Inline 4	 Front Wheel Drive	 Regular unleaded	 2.4 L	 185 hp @ 6400 rpm	 181 ft-lbs. @ 3900 rpm	$22,105	        Yes	        No	        No
Honda	Accord	2014 Accord Sedan	2014	 24/34 mpg	Sedan	 6-speed Manual	 3 Yr./ 36000 Mi.	 Gas	5	Inline 4	 Front Wheel Drive	 Regular unleaded	 2.4 L	 185 hp @ 6400 rpm	 181 ft-lbs. @ 3900 rpm	$21,955	        Yes	        No	        No
Honda	Accord Hybrid	2014 Accord Hybrid Sedan	2014	 50/45 mpg	Sedan	 Continuously Variable-speed Automatic	 3 Yr./ 36000 Mi.	 Hybrid	5	Inline 4	 Front Wheel Drive	 Regular unleaded	 2.0 L	 195 hp @ 6200 rpm	Not Available	$29,155	        Yes	        No	        No
Honda	Civic	2016 Civic Sedan	2016	 27/40 mpg	Sedan	 6-speed Manual	 3 Yr./ 36000 Mi.	 Gas	5	Inline 4	 Front Wheel Drive	 Regular unleaded	 2.0 L	 158 hp @ 6500 rpm	 138 ft-lbs. @ 4200 rpm	$18,640	        Yes	        No	        No
Honda	Civic	2015 Civic Sedan	2015	 28/36 mpg	Sedan	 5-speed Manual	 3 Yr./ 36000 Mi.	 Gas	5	Inline 4	 Front Wheel Drive	 Regular unleaded	 1.8 L	 143 hp @ 6500 rpm	 129 ft-lbs. @ 4300 rpm	$18,490	        Yes	        No	        No
Honda	Civic	2014 Civic Coupe	2014	 28/36 mpg	Coupe	 5-speed Manual	 3 Yr./ 36000 Mi.	 Gas	5	Inline 4	 Front Wheel Drive	 Regular unleaded	 1.8 L	 143 hp @ 6500 rpm	 129 ft-lbs. @ 4300 rpm	$18,190	        Yes	        No	        No
Honda	Civic	2015 Civic Natural Gas	2015	 27/38 mpg	Sedan	 5-speed Automatic	 3 Yr./ 36000 Mi.	 Natural Gas (cng)	5	Inline 4	 Front Wheel Drive	 Natural gas (CNG)	 1.8 L	 110 hp @ 6500 rpm	 106 ft-lbs. @ 4300 rpm	$26,740	        Yes	        No	        No
Honda	Civic	2014 Civic Sedan	2014	 28/36 mpg	Sedan	 5-speed Manual	 3 Yr./ 36000 Mi.	 Gas	5	Inline 4	 Front Wheel Drive	 Regular unleaded	 1.8 L	 143 hp @ 6500 rpm	 129 ft-lbs. @ 4300 rpm	$18,390	        Yes	        No	        No
Honda	Civic	2014 Civic Natural Gas	2014	 27/38 mpg	Sedan	 5-speed Automatic	 3 Yr./ 36000 Mi.	 Natural Gas (cng)	5	Inline 4	 Front Wheel Drive	 Natural gas (CNG)	 1.8 L	 110 hp @ 6500 rpm	 106 ft-lbs. @ 4300 rpm	$26,640	        Yes	        No	        No
Honda	Civic	2014 Civic Hybrid	2014	 44/47 mpg	Sedan	 Continuously Variable-speed Automatic	 3 Yr./ 36000 Mi.	 Hybrid	5	Inline 4	 Front Wheel Drive	 Regular unleaded	 1.5 L	 110 hp @ 5500 rpm	 127 ft-lbs. @ 1000 rpm	$24,635	        Yes	        No	        No
Honda	Civic	2014 Civic Si w/Navigation and Summer Tires	2014	 22/31 mpg	Coupe	 6-speed Manual	 3 Yr./ 36000 Mi.	 Gas	5	Inline 4	 Front Wheel Drive	 Premium unleaded (required)	 2.4 L	 205 hp @ 7000 rpm	 174 ft-lbs. @ 4400 rpm	$24,490	        Yes	        No	        Yes
Honda	CR-V	2016 CR-V SUV	2016	 26/33 mpg	SUV	 Continuously Variable-speed Automatic	 3 Yr./ 36000 Mi.	 Gas	5	Inline 4	 Front Wheel Drive	 Regular unleaded	 2.4 L	 185 hp @ 6400 rpm	 181 ft-lbs. @ 3900 rpm	$23,595	        Yes	        No	        No
Honda	CR-Z	2014 CR-Z Hatchback	2014	 31/38 mpg	Hatchback	 6-speed Manual	 3 Yr./ 36000 Mi.	 Hybrid	2	Inline 4	 Front Wheel Drive	 Regular unleaded	 1.5 L	 130 hp @ 6000 rpm	 140 ft-lbs. @ 1000 rpm	$19,995	        Yes	        No	        No
Honda	CR-V	2015 CR-V SUV	2015	 27/34 mpg	SUV	 Continuously Variable-speed Automatic	 3 Yr./ 36000 Mi.	 Gas	5	Inline 4	 Front Wheel Drive	 Regular unleaded	 2.4 L	 185 hp @ 6400 rpm	 181 ft-lbs. @ 3900 rpm	$23,445	        Yes	        No	        No
Honda	CR-V	2014 CR-V SUV	2014	 23/31 mpg	SUV	 5-speed Automatic	 3 Yr./ 36000 Mi.	 Gas	5	Inline 4	 Front Wheel Drive	 Regular unleaded	 2.4 L	 185 hp @ 7000 rpm	 163 ft-lbs. @ 4400 rpm	$23,120	        Yes	        No	        No
Infiniti	QX70	2015 QX70 SUV	2015	 17/24 mpg	SUV	 7-speed Shiftable Automatic	 4 Yr./ 60000 Mi.	 Gas	5	V6	 Rear Wheel Drive	 Premium unleaded (required)	 3.7 L	 325 hp @ 7000 rpm	 267 ft-lbs. @ 5200 rpm	$45,850	        Yes	        Yes	        No
Infiniti	QX60	2015 QX60 SUV	2015	 21/27 mpg	SUV	 Continuously Variable-speed Automatic	 4 Yr./ 60000 Mi.	 Gas	7	V6	 Front Wheel Drive	 Premium unleaded (recommended)	 3.5 L	 265 hp @ 6400 rpm	 248 ft-lbs. @ 4400 rpm	$42,400	        Yes	        Yes	        No
Infiniti	QX60	2014 QX60 Hybrid	2014	 26/28 mpg	SUV	 Continuously Variable-speed Automatic	 4 Yr./ 60000 Mi.	 Hybrid	7	Inline 4	 Front Wheel Drive	 Regular unleaded	 2.5 L	 250 hp @ 5600 rpm	 243 ft-lbs. @ 3600 rpm	$45,100	        Yes	        Yes	        No
Jeep	Wrangler	2018 Wrangler SUV	2018	Not Available	SUV	Not Available	Not Available	 Gas	Not Available	Not Available	 Four Wheel Drive	 Regular unleaded	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available
Infiniti	QX50	2014 QX50 SUV	2014	 17/25 mpg	SUV	 7-speed Shiftable Automatic	 4 Yr./ 60000 Mi.	 Gas	5	V6	 Rear Wheel Drive	 Premium unleaded (recommended)	 3.7 L	 325 hp @ 7000 rpm	 267 ft-lbs. @ 5200 rpm	$34,850	        No	        No	        No
Subaru	BRZ	2016 BRZ Coupe	2016	 22/30 mpg	Coupe	 6-speed Manual	Not Available	 Gas	4	Flat 4	 Rear Wheel Drive	 Premium unleaded (required)	 2.0 L	 200 hp @ 7000 rpm	 151 ft-lbs. @ 6400 rpm	$25,395	        Yes	        No	        No
Subaru	BRZ	2014 BRZ Coupe	2014	 22/30 mpg	Coupe	 6-speed Manual	 3 Yr./ 36000 Mi.	 Gas	4	Flat 4	 Rear Wheel Drive	 Premium unleaded (required)	 2.0 L	 200 hp @ 7000 rpm	 151 ft-lbs. @ 6400 rpm	$25,595	        Yes	        No	        Yes
Subaru	BRZ	2015 BRZ Coupe	2015	 22/30 mpg	Coupe	 6-speed Manual	 3 Yr./ 36000 Mi.	 Gas	4	Flat 4	 Rear Wheel Drive	 Premium unleaded (required)	 2.0 L	 200 hp @ 7000 rpm	 151 ft-lbs. @ 6400 rpm	$25,695	        Yes	        No	        Yes
Jeep	Wrangler	2016 Wrangler SUV	2016	 17/21 mpg	SUV	 6-speed Manual	 3 Yr./ 36000 Mi.	 Gas	4	V6	 Four Wheel Drive	 Regular unleaded	 3.6 L	 285 hp @ 6400 rpm	 260 ft-lbs. @ 4800 rpm	$23,495	        No	        Yes	        No
Acura	TSX	2014 TSX Sedan	2014	 22/31 mpg	Sedan	 5-speed Shiftable Automatic	 4 Yr./ 50000 Mi.	 Gas	5	Inline 4	 Front Wheel Drive	 Premium unleaded (recommended)	 2.4 L	 201 hp @ 7000 rpm	 170 ft-lbs. @ 4300 rpm	$30,635	        Yes	        Yes	        No
Hyundai	Accent	2016 Accent Hatchback	2016	 27/38 mpg	Hatchback	 6-speed Manual	 5 Yr./ 60000 Mi.	 Gas	5	Inline 4	 Front Wheel Drive	 Regular unleaded	 1.6 L	 137 hp @ 6300 rpm	 123 ft-lbs. @ 4850 rpm	$14,995	        No	        No	        No
Audi	TTS	2014 TTS Coupe	2014	 22/31 mpg	Coupe	 6-speed Automated Manual	 4 Yr./ 50000 Mi.	 Gas	4	Inline 4	 All Wheel Drive	 Premium unleaded (required)	 2.0 L	 265 hp @ 6000 rpm	 258 ft-lbs. @ 2500 rpm	$48,700	        Yes	        Yes	        No
Hyundai	Accent	2015 Accent Hatchback	2015	 27/38 mpg	Hatchback	 6-speed Manual	 5 Yr./ 60000 Mi.	 Gas	5	Inline 4	 Front Wheel Drive	 Regular unleaded	 1.6 L	 137 hp @ 6300 rpm	 123 ft-lbs. @ 4850 rpm	$14,995	        No	        No	        No
Mazda	MX-5 Miata	2016 MX-5 Miata Convertible	2016	 27/34 mpg	Convertible	 6-speed Manual	 3 Yr./ 36000 Mi.	 Gas	2	Inline 4	 Rear Wheel Drive	 Premium unleaded (recommended)	 2.0 L	 155 hp @ 6000 rpm	 148 ft-lbs. @ 4600 rpm	$24,915	        Yes	        No	        No
Mazda	MX-5 Miata	2015 MX-5 Miata Convertible	2015	 22/28 mpg	Convertible	 5-speed Manual	 3 Yr./ 36000 Mi.	 Gas	2	Inline 4	 Rear Wheel Drive	 Premium unleaded (recommended)	 2.0 L	 167 hp @ 7000 rpm	 140 ft-lbs. @ 5000 rpm	$23,970	        No	        No	        No
Mazda	MX-5 Miata	2014 MX-5 Miata Convertible	2014	 22/28 mpg	Convertible	 5-speed Manual	 3 Yr./ 36000 Mi.	 Gas	2	Inline 4	 Rear Wheel Drive	 Premium unleaded (recommended)	 2.0 L	 167 hp @ 7000 rpm	 140 ft-lbs. @ 5000 rpm	$23,720	        No	        No	        No
Lexus	RX 450h	2016 RX 450h SUV	2016	 31/30 mpg	SUV	 Continuously Variable-speed Automatic	 4 Yr./ 50000 Mi.	 Hybrid	5	V6	 Front Wheel Drive	 Premium unleaded (recommended)	 3.5 L	 308 hp @ 6000 rpm	 247 ft-lbs. @ 4600 rpm	$52,235	        Yes	        Yes	        No
Lexus	RX 450h	2015 RX 450h SUV	2015	 32/28 mpg	SUV	 Continuously Variable-speed Automatic	 4 Yr./ 50000 Mi.	 Hybrid	5	V6	 Front Wheel Drive	 Premium unleaded (required)	 3.5 L	 295 hp @ 6000 rpm	Not Available	$47,620	        Yes	        Yes	        No
Lexus	RX 350	2015 RX 350 SUV	2015	 18/25 mpg	SUV	 6-speed Shiftable Automatic	 4 Yr./ 50000 Mi.	 Gas	5	V6	 Front Wheel Drive	 Regular unleaded	 3.5 L	 270 hp @ 6200 rpm	 248 ft-lbs. @ 4700 rpm	$40,970	        Yes	        Yes	        No
Lexus	RX 450h	2014 RX 450h SUV	2014	 32/28 mpg	SUV	 Continuously Variable-speed Automatic	 4 Yr./ 50000 Mi.	 Hybrid	5	V6	 Front Wheel Drive	 Premium unleaded (required)	 3.5 L	 295 hp @ 6000 rpm	Not Available	$46,410	        Yes	        Yes	        No
Lexus	CT 200h	2015 CT 200h Hatchback	2015	 43/40 mpg	Hatchback	 Continuously Variable-speed Automatic	 4 Yr./ 50000 Mi.	 Hybrid	5	Inline 4	 Front Wheel Drive	 Regular unleaded	 1.8 L	 134 hp @ 5200 rpm	 142 ft-lbs. @ 4000 rpm	$32,200	        Yes	        Yes	        No
Lexus	RX 350	2016 RX 350 SUV	2016	 20/28 mpg	SUV	 8-speed Shiftable Automatic	 4 Yr./ 50000 Mi.	 Gas	5	V6	 Front Wheel Drive	 Regular unleaded	 3.5 L	 295 hp @ 6300 rpm	 267 ft-lbs. @ 4700 rpm	$41,900	        Yes	        Yes	        No
Lexus	RX 350	2014 RX 350 SUV	2014	 18/25 mpg	SUV	 6-speed Shiftable Automatic	 4 Yr./ 50000 Mi.	 Gas	5	V6	 Front Wheel Drive	 Regular unleaded	 3.5 L	 270 hp @ 6200 rpm	 248 ft-lbs. @ 4700 rpm	$39,760	        Yes	        Yes	        No
Lexus	CT 200h	2014 CT 200h Hatchback	2014	 43/40 mpg	Hatchback	 Continuously Variable-speed Automatic	 4 Yr./ 50000 Mi.	 Hybrid	5	Inline 4	 Front Wheel Drive	 Regular unleaded	 1.8 L	 134 hp @ 5200 rpm	 142 ft-lbs. @ 4000 rpm	$32,050	        Yes	        Yes	        No
Lexus	CT 200h	2016 CT 200h Hatchback	2016	 43/40 mpg	Hatchback	 Continuously Variable-speed Automatic	 4 Yr./ 50000 Mi.	 Hybrid	5	Inline 4	 Front Wheel Drive	 Regular unleaded	 1.8 L	 134 hp @ 5200 rpm	 142 ft-lbs. @ 4000 rpm	$31,250	        Yes	        Yes	        No
Volkswagen	Touareg	2016 Touareg SUV	2016	 17/23 mpg	SUV	 8-speed Shiftable Automatic	 3 Yr./ 36000 Mi.	 Gas	5	V6	 All Wheel Drive	 Premium unleaded (recommended)	 3.6 L	 280 hp @ 6200 rpm	 266 ft-lbs. @ 2500 rpm	$42,705	        Yes	        Yes	        No
Hyundai	Veloster	2015 Veloster Hatchback	2015	 26/35 mpg	Hatchback	 6-speed Manual	 5 Yr./ 60000 Mi.	 Gas	4	Inline 4	 Front Wheel Drive	 Regular unleaded	 1.6 L	 138 hp @ 6300 rpm	 123 ft-lbs. @ 4850 rpm	$18,000	        Yes	        No	        No
Audi	TTS	2016 TTS Coupe	2016	 23/27 mpg	Coupe	 6-speed Automated Manual	 4 Yr./ 50000 Mi.	 Gas	4	Inline 4	 All Wheel Drive	 Premium unleaded (required)	 2.0 L	Not Available	Not Available	$51,900	        Yes	        Yes	        No
Volkswagen	Touareg	2015 Touareg SUV	2015	 17/23 mpg	SUV	 8-speed Shiftable Automatic	 3 Yr./ 36000 Mi.	 Gas	5	V6	 All Wheel Drive	 Premium unleaded (recommended)	 3.6 L	 280 hp @ 6200 rpm	 266 ft-lbs. @ 2500 rpm	$44,705	        Yes	        Yes	        No
Hyundai	Accent	2014 Accent Hatchback	2014	 27/38 mpg	Hatchback	 6-speed Manual	 5 Yr./ 60000 Mi.	 Gas	5	Inline 4	 Front Wheel Drive	 Regular unleaded	 1.6 L	 138 hp @ 6300 rpm	 123 ft-lbs. @ 4850 rpm	$14,895	        No	        No	        No
Hyundai	Veloster	2016 Veloster Hatchback	2016	 27/35 mpg	Hatchback	 6-speed Manual	 5 Yr./ 60000 Mi.	 Gas	4	Inline 4	 Front Wheel Drive	 Regular unleaded	 1.6 L	 132 hp @ 6300 rpm	 120 ft-lbs. @ 4850 rpm	$18,000	        Yes	        No	        No
Audi	TTS	2015 TTS Coupe	2015	 22/31 mpg	Coupe	 6-speed Automated Manual	 4 Yr./ 50000 Mi.	 Gas	4	Inline 4	 All Wheel Drive	 Premium unleaded (required)	 2.0 L	 265 hp @ 6000 rpm	 258 ft-lbs. @ 2500 rpm	$48,700	        Yes	        Yes	        No
Hyundai	Veloster	2014 Veloster Hatchback	2014	 26/35 mpg	Hatchback	 6-speed Manual	 5 Yr./ 60000 Mi.	 Gas	4	Inline 4	 Front Wheel Drive	 Regular unleaded	 1.6 L	 138 hp @ 6300 rpm	 123 ft-lbs. @ 4850 rpm	$17,800	        Yes	        No	        No
Volkswagen	Touareg	2014 Touareg SUV	2014	 17/23 mpg	SUV	 8-speed Shiftable Automatic	 3 Yr./ 36000 Mi.	 Gas	5	V6	 All Wheel Drive	 Premium unleaded (recommended)	 3.6 L	 280 hp @ 6200 rpm	 266 ft-lbs. @ 2500 rpm	$44,570	        Yes	        Yes	        No
Jeep	Patriot	2016 Patriot SUV	2016	 23/30 mpg	SUV	 5-speed Manual	 3 Yr./ 36000 Mi.	 Gas	5	Inline 4	 Front Wheel Drive	 Regular unleaded	 2.0 L	 158 hp @ 6400 rpm	 141 ft-lbs. @ 5000 rpm	$17,495	        Yes	        No	        No
Jeep	Patriot	2015 Patriot SUV	2015	 23/30 mpg	SUV	 5-speed Manual	 3 Yr./ 36000 Mi.	 Gas	5	Inline 4	 Front Wheel Drive	 Regular unleaded	 2.0 L	 158 hp @ 6400 rpm	 141 ft-lbs. @ 5000 rpm	$16,895	        No	        No	        No
Jeep	Renegade	2016 Renegade SUV	2016	 24/31 mpg	SUV	 6-speed Manual	 3 Yr./ 36000 Mi.	 Gas	5	Inline 4	 Front Wheel Drive	 Premium unleaded (recommended)	 1.4 L	 160 hp @ 5500 rpm	 184 ft-lbs. @ 2500 rpm	$17,995	        No	        No	        No
Jeep	Patriot	2014 Patriot SUV	2014	 23/30 mpg	SUV	 5-speed Manual	 3 Yr./ 36000 Mi.	 Gas	5	Inline 4	 Front Wheel Drive	 Regular unleaded	 2.0 L	 158 hp @ 6400 rpm	 141 ft-lbs. @ 5000 rpm	$16,195	        No	        No	        No
Jeep	Renegade	2015 Renegade SUV	2015	 24/31 mpg	SUV	 6-speed Manual	 3 Yr./ 36000 Mi.	 Gas	5	Inline 4	 Front Wheel Drive	 Premium unleaded (recommended)	 1.4 L	 160 hp @ 5500 rpm	 184 ft-lbs. @ 2500 rpm	$17,995	        No	        No	        No
Acura	TSX Sport Wagon	2014 TSX Sport Wagon 	2014	Not Available	Wagon	 5-speed Shiftable Automatic	 4 Yr./ 50000 Mi.	 Gas	5	Inline 4	 Front Wheel Drive	 Premium unleaded (recommended)	 2.4 L	 201 hp @ 7000 rpm	 170 ft-lbs. @ 4300 rpm	$31,985	        Yes	        Yes	        No
Infiniti	QX50	2016 QX50 SUV	2016	 17/24 mpg	SUV	 7-speed Shiftable Automatic	 4 Yr./ 60000 Mi.	 Gas	5	V6	 Rear Wheel Drive	 Premium unleaded (recommended)	 3.7 L	 325 hp @ 7000 rpm	 267 ft-lbs. @ 5200 rpm	$34,450	        Yes	        Yes	        No
Jeep	Wrangler	2015 Wrangler SUV	2015	 17/21 mpg	SUV	 6-speed Manual	 3 Yr./ 36000 Mi.	 Gas	4	V6	 Four Wheel Drive	 Regular unleaded	 3.6 L	 285 hp @ 6400 rpm	 260 ft-lbs. @ 4800 rpm	$22,995	        No	        No	        No
Jeep	Wrangler	2014 Wrangler SUV	2014	 17/21 mpg	SUV	 6-speed Manual	 3 Yr./ 36000 Mi.	 Gas	4	V6	 Four Wheel Drive	 Regular unleaded	 3.6 L	 285 hp @ 6400 rpm	 260 ft-lbs. @ 4800 rpm	$22,395	        No	        Yes	        No
Infiniti	QX50	2015 QX50 SUV	2015	 17/25 mpg	SUV	 7-speed Shiftable Automatic	 4 Yr./ 60000 Mi.	 Gas	5	V6	 Rear Wheel Drive	 Premium unleaded (recommended)	 3.7 L	 325 hp @ 7000 rpm	 267 ft-lbs. @ 5200 rpm	$35,000	        Yes	        No	        No
Infiniti	QX60	2015 QX60 Hybrid	2015	 26/28 mpg	SUV	 Continuously Variable-speed Automatic	 4 Yr./ 60000 Mi.	 Hybrid	7	Inline 4	 Front Wheel Drive	 Premium unleaded (recommended)	 2.5 L	 230 hp @ 5600 rpm	 243 ft-lbs. @ 3600 rpm	$45,400	        Yes	        Yes	        No
Infiniti	QX60	2014 QX60 SUV	2014	 20/26 mpg	SUV	 Continuously Variable-speed Automatic	 4 Yr./ 60000 Mi.	 Gas	7	V6	 Front Wheel Drive	 Premium unleaded (recommended)	 3.5 L	 265 hp @ 6400 rpm	 248 ft-lbs. @ 4400 rpm	$42,100	        Yes	        Yes	        No
Infiniti	QX70	2016 QX70 SUV	2016	 17/24 mpg	SUV	 7-speed Shiftable Automatic	 4 Yr./ 60000 Mi.	 Gas	5	V6	 Rear Wheel Drive	 Premium unleaded (required)	 3.7 L	 325 hp @ 7000 rpm	 267 ft-lbs. @ 5200 rpm	$45,850	        Yes	        Yes	        No
