Honda	Ridgeline	2016 Ridgeline Crew Cab	2016	Not Available	Truck	Not Available	Not Available	 Gas	Not Available	Not Available	 Four Wheel Drive	 Regular unleaded	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available
Toyota	Yaris	2015 Yaris Hatchback	2015	 30/37 mpg	Hatchback	 5-speed Manual	 3 Yr./ 36000 Mi.	 Gas	5	Inline 4	 Front Wheel Drive	 Regular unleaded	 1.5 L	 106 hp @ 6000 rpm	 103 ft-lbs. @ 4200 rpm	$14,845	        Yes	        No	        No
Lincoln	Navigator	2014 Navigator SUV	2014	 14/20 mpg	SUV	 6-speed Automatic	 4 Yr./ 50000 Mi.	 Flex-fuel (ffv)	7	V8	 Rear Wheel Drive	 Flex-fuel (FFV)	 5.4 L	 310 hp @ 5100 rpm	 365 ft-lbs. @ 3600 rpm	$56,165	        Yes	        Yes	        Yes
Lincoln	Navigator	2015 Navigator SUV	2015	 16/22 mpg	SUV	 6-speed Shiftable Automatic	 4 Yr./ 50000 Mi.	 Gas	7	V6	 Rear Wheel Drive	 Regular unleaded	 3.5 L	 365 hp @ 5000 rpm	 420 ft-lbs. @ 2500 rpm	$61,480	        Yes	        Yes	        Yes
Toyota	Yaris	2014 Yaris Hatchback	2014	 30/37 mpg	Hatchback	 5-speed Manual	 3 Yr./ 36000 Mi.	 Gas	5	Inline 4	 Front Wheel Drive	 Regular unleaded	 1.5 L	 106 hp @ 6000 rpm	 103 ft-lbs. @ 4200 rpm	$14,430	        Yes	        No	        No
Nissan	Titan	2014 Titan King Cab	2014	 13/18 mpg	Truck	 5-speed Automatic	 3 Yr./ 36000 Mi.	 Gas	6	V8	 Rear Wheel Drive	 Regular unleaded	 5.6 L	 317 hp @ 5200 rpm	 385 ft-lbs. @ 3400 rpm	$29,360	        No	        No	        No
Nissan	Xterra	2014 Xterra SUV	2014	 16/22 mpg	SUV	 5-speed Automatic	 3 Yr./ 36000 Mi.	 Gas	5	V6	 Rear Wheel Drive	 Regular unleaded	 4.0 L	 261 hp @ 5600 rpm	 281 ft-lbs. @ 4000 rpm	$23,390	        Yes	        No	        No
Nissan	Versa	2016 Versa Sedan	2016	 27/36 mpg	Sedan	 5-speed Manual	 3 Yr./ 36000 Mi.	 Gas	5	Inline 4	 Front Wheel Drive	 Regular unleaded	 1.6 L	 109 hp @ 6000 rpm	 107 ft-lbs. @ 4400 rpm	$11,990	        Yes	        No	        No
Nissan	Versa	2015 Versa Sedan	2015	 27/36 mpg	Sedan	 5-speed Manual	 3 Yr./ 36000 Mi.	 Gas	5	Inline 4	 Front Wheel Drive	 Regular unleaded	 1.6 L	 109 hp @ 6000 rpm	 107 ft-lbs. @ 4400 rpm	$11,990	        Yes	        No	        No
Nissan	Versa	2014 Versa Sedan	2014	 27/36 mpg	Sedan	 5-speed Manual	 3 Yr./ 36000 Mi.	 Gas	5	Inline 4	 Front Wheel Drive	 Regular unleaded	 1.6 L	 109 hp @ 6000 rpm	 107 ft-lbs. @ 4400 rpm	$11,990	        No	        No	        No
Nissan	Versa Note	2014 Versa Note Hatchback	2014	 27/36 mpg	Hatchback	 5-speed Manual	 3 Yr./ 36000 Mi.	 Gas	5	Inline 4	 Front Wheel Drive	 Regular unleaded	 1.6 L	 109 hp @ 6000 rpm	 107 ft-lbs. @ 4400 rpm	$13,990	        No	        No	        No
